game_id,language,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,elicit_beliefs,tom_order,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent1_beliefs,agent1_beliefs_2nd_order,agent1_belief_brier_per_round,agent1_belief_mean_brier,agent1_belief_mean_p_outcome,agent1_belief_agreement_rate,agent1_regret_per_round,agent1_regret_mean,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent2_beliefs,agent2_beliefs_2nd_order,agent2_belief_brier_per_round,agent2_belief_mean_brier,agent2_belief_mean_p_outcome,agent2_belief_agreement_rate,agent2_regret_per_round,agent2_regret_mean,welfare_mean_sum,welfare_mean_min,welfare_mean_gini,welfare_efficiency,welfare_per_round
game_0,en,True,10,1,False,True,2,agent1,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.007, 'strategy2': 0.993}]",[None],[9.800000000000009e-05],9.800000000000009e-05,0.993,1.0,[0.0],0.0,agent2,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_1,en,True,10,1,False,True,2,agent1,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,agent2,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.993, 'strategy2': 0.007}]",[None],[1.972098],1.972098,0.007,0.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_2,en,True,10,1,False,True,2,agent1,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.93, 'strategy2': 0.07}]",[None],[1.7298],1.7298,0.07,0.0,[0.0],0.0,agent2,GPT-4o,selfish,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_3,en,True,10,1,False,True,2,agent1,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.993, 'strategy2': 0.007}]",[None],[1.972098],1.972098,0.007,0.0,[0.0],0.0,agent2,GPT-4o,selfish,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_4,en,True,10,1,False,True,2,agent1,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.007, 'strategy2': 0.993}]",[None],[9.800000000000009e-05],9.800000000000009e-05,0.993,1.0,[0.0],0.0,agent2,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_5,en,True,10,1,False,True,2,agent1,GPT-4o,cooperative,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,agent2,GPT-4o,selfish,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.7, 'strategy2': 0.3}]",[None],[0.9799999999999999],0.9799999999999999,0.3,0.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_6,en,True,10,7,False,True,2,agent1,GPT-4o,cooperative,0.7,"['OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[10.0, 6.0, 6.0, 6.0, 6.0, 0.0, 2.0]",[],"[{'strategy1': 0.993, 'strategy2': 0.007}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.3, 'strategy2': 0.7}]","[None, None, None, None, None, None, None]","[9.800000000000009e-05, 0.18000000000000002, 0.18000000000000002, 0.18000000000000002, 0.18000000000000002, 0.9799999999999999, 0.18000000000000002]",0.2685854285714286,0.6847142857142857,0.8571428571428571,"[0.0, 4.0, 4.0, 4.0, 4.0, 2.0, 0.0]",2.5714285714285716,agent2,GPT-4o,selfish,0.7,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[0.0, 6.0, 6.0, 6.0, 6.0, 10.0, 2.0]",[],"[{'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.007, 'strategy2': 0.993}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.7, 'strategy2': 0.3}, {'strategy1': 0.993, 'strategy2': 0.007}, {'strategy1': 0.9, 'strategy2': 0.1}]","[None, None, None, None, None, None, None]","[0.9799999999999999, 1.972098, 0.18000000000000002, 0.18000000000000002, 0.18000000000000002, 9.800000000000009e-05, 1.62]",0.7303137142857142,0.5,0.5714285714285714,"[2.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0]",2.5714285714285716,10.285714285714286,3.7142857142857144,0.14285714285714285,,"[{'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_7,en,True,10,9,False,True,2,agent1,GPT-4o,selfish,0.7,"['OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionA', 'OptionA', 'OptionB']","[10.0, 0.0, 0.0, 10.0, 10.0, 10.0, 6.0, 6.0, 2.0]",[],"[{'strategy1': 0.993, 'strategy2': 0.007}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.007, 'strategy2': 0.993}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.993, 'strategy2': 0.007}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.3, 'strategy2': 0.7}]","[None, None, None, None, None, None, None, None, None]","[9.800000000000009e-05, 0.18000000000000002, 9.800000000000009e-05, 0.9799999999999999, 0.9799999999999999, 9.800000000000009e-05, 0.9799999999999999, 0.9799999999999999, 0.18000000000000002]",0.4755882222222222,0.6198888888888888,0.5555555555555556,"[0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 4.0, 4.0, 0.0]",1.3333333333333333,agent2,GPT-4o,selfish,0.7,"['OptionA', 'OptionB', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[0.0, 10.0, 10.0, 0.0, 0.0, 0.0, 6.0, 6.0, 2.0]",[],"[{'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.007, 'strategy2': 0.993}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.993, 'strategy2': 0.007}, {'strategy1': 0.993, 'strategy2': 0.007}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.3, 'strategy2': 0.7}, {'strategy1': 0.7, 'strategy2': 0.3}]","[None, None, None, None, None, None, None, None, None]","[0.18000000000000002, 1.972098, 0.9799999999999999, 1.972098, 1.972098, 0.18000000000000002, 0.9799999999999999, 0.9799999999999999, 0.9799999999999999]",1.1329215555555556,0.2912222222222222,0.2222222222222222,"[2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 4.0, 4.0, 0.0]",1.7777777777777777,9.777777777777779,1.5555555555555556,0.3333333333333333,,"[{'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 10.0, 'mean': 5.0, 'min': 0.0, 'max': 10.0, 'gini': 0.5}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 12.0, 'mean': 6.0, 'min': 6.0, 'max': 6.0, 'gini': 0.0}, {'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_8,en,True,10,1,False,True,2,agent1,GPT-4o,selfish,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,agent2,GPT-4o,selfish,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
game_9,en,True,10,1,False,True,2,agent1,GPT-4o,selfish,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.007, 'strategy2': 0.993}]",[None],[9.800000000000009e-05],9.800000000000009e-05,0.993,1.0,[0.0],0.0,agent2,GPT-4o,selfish,0.7,['OptionB'],[2.0],[],"[{'strategy1': 0.3, 'strategy2': 0.7}]",[None],[0.18000000000000002],0.18000000000000002,0.7,1.0,[0.0],0.0,4.0,2.0,0.0,,"[{'sum': 4.0, 'mean': 2.0, 'min': 2.0, 'max': 2.0, 'gini': 0.0}]"
